DIA;INTERVALO;MIN_dB;MAX_dB;LUGAR;SEMANA;
MARTES;int_1;69,1;81,9;Lu_1;1;
MARTES;int_2;70;84,4;Lu_2;1;
MARTES;int_3;71;80;Lu_3;1;
MARTES;int_4;70,5;82,6;Lu_4;1;
MARTES;int_5;68,5;84,1;Lu_5;1;
MARTES;int_8;70,3;87,4;Lu_3;1;
MARTES;int_9;71;82,3;Lu_4;1;
MARTES;int_10;69,4;84,6;Lu_5;1;
MARTES;int_11;68,9;87,2;Lu_1;1;
MARTES;int_12;70,1;85,4;Lu_2;1;
MARTES;int_13;70,7;84,4;Lu_3;1;
MARTES;int_14;70;81,1;Lu_4;1;
MARTES;int_15;68,1;84,6;Lu_5;1;
MIERCOLES;int_1;66,2;77,4;Lu_1;1;
MIERCOLES;int_2;68,5;81;Lu_2;1;
MIERCOLES;int_3;69,8;87,4;Lu_3;1;
MIERCOLES;int_4;71,1;79,3;Lu_4;1;
MIERCOLES;int_5;69,7;86,8;Lu_5;1;
MIERCOLES;int_6;69,8;85;Lu_1;1;
MIERCOLES;int_7;69,1;82,7;Lu_2;1;
MIERCOLES;int_8;67,8;82,1;Lu_3;1;
MIERCOLES;int_9;76,5;79,5;Lu_4;1;
MIERCOLES;int_10;68,4;83,6;Lu_5;1;
MIERCOLES;int_11;66,4;82,4;Lu_1;1;
MIERCOLES;int_12;67,4;83,4;Lu_2;1;
MIERCOLES;int_13;68,9;79,9;Lu_3;1;
MIERCOLES;int_14;67,9;75,9;Lu_4;1;
MIERCOLES;int_15;66,9;80,4;Lu_5;1;
JUEVES;int_1;62,9;87,2;Lu_1;1;
JUEVES;int_2;60,1;85,8;Lu_2;1;
JUEVES;int_3;70,6;84,4;Lu_3;1;
JUEVES;int_5;70,8;82,7;Lu_5;1;
JUEVES;int_6;66,5;83,8;Lu_1;1;
JUEVES;int_7;70,2;78,9;Lu_2;1;
JUEVES;int_8;71,8;84,2;Lu_3;1;
JUEVES;int_9;70;82,1;Lu_4;1;
JUEVES;int_10;67,8;82,9;Lu_5;1;
JUEVES;int_11;67,2;84,9;Lu_1;1;
JUEVES;int_12;69,8;87,3;Lu_2;1;
JUEVES;int_13;68,5;78,9;Lu_3;1;
JUEVES;int_14;70,8;85,1;Lu_4;1;
JUEVES;int_15;67,3;82,5;Lu_5;1;
VIERNES;int_1;68,8;80,7;Lu_1;1;
VIERNES;int_2;71,7;81,1;Lu_2;1;
VIERNES;int_3;72,1;80,1;Lu_3;1;
VIERNES;int_4;72,2;87,6;Lu_4;1;
VIERNES;int_6;72,7;81,4;Lu_1;1;
VIERNES;int_7;71,9;83,8;Lu_2;1;
VIERNES;int_8;71;80,8;Lu_3;1;
VIERNES;int_9;74,5;84,1;Lu_4;1;
VIERNES;int_10;71,3;86;Lu_5;1;
VIERNES;int_11;70,8;80,7;Lu_1;1;
VIERNES;int_12;69,6;80,8;Lu_2;1;
VIERNES;int_13;73,6;87,3;Lu_3;1;
VIERNES;int_14;73,2;85,2;Lu_4;1;
VIERNES;int_15;69,2;84,1;Lu_5;1;
MARTES;int_1;67,9;84,5;Lu_1;2;
MARTES;int_2;67,1;87,2;Lu_2;2;
MARTES;int_3;69,9;83,4;Lu_3;2;
MARTES;int_4;70,9;84,4;Lu_4;2;
MARTES;int_5;69,8;88,9;Lu_5;2;
MARTES;int_6;67,3;81,6;Lu_1;2;
MARTES;int_7;70,1;82;Lu_2;2;
MARTES;int_8;70,7;82,5;Lu_3;2;
MARTES;int_9;70,8;82,6;Lu_4;2;
MARTES;int_10;68,8;83,5;Lu_5;2;
MARTES;int_11;69,8;82,6;Lu_1;2;
MARTES;int_12;67;85,3;Lu_2;2;
MARTES;int_13;66,6;84,6;Lu_3;2;
MARTES;int_14;71,5;84,8;Lu_4;2;
MARTES;int_15;70,1;85,7;Lu_5;2;
MIERCOLES;int_1;68,4;81,1;Lu_1;2;
MIERCOLES;int_2;70,7;82,1;Lu_2;2;
MIERCOLES;int_3;71,4;84;Lu_3;2;
MIERCOLES;int_4;72,5;81,9;Lu_4;2;
MIERCOLES;int_5;69,9;81,9;Lu_5;2;
MIERCOLES;int_6;68;80,8;Lu_1;2;
MIERCOLES;int_7;70,1;84,2;Lu_2;2;
MIERCOLES;int_8;70,5;77,8;Lu_3;2;
MIERCOLES;int_9;70,8;81,5;Lu_4;2;
MIERCOLES;int_10;68,3;79,6;Lu_5;2;
MIERCOLES;int_11;67,2;79,8;Lu_1;2;
MIERCOLES;int_12;68,4;79,8;Lu_2;2;
MIERCOLES;int_13;67,4;78,8;Lu_3;2;
MIERCOLES;int_14;68,3;81;Lu_4;2;
MIERCOLES;int_15;67,8;83,8;Lu_5;2;
JUEVES;int_1;64,7;83,8;Lu_1;2;
JUEVES;int_2;66,3;84,5;Lu_2;2;
JUEVES;int_3;71,6;80,4;Lu_3;2;
JUEVES;int_4;71,3;82,8;Lu_4;2;
JUEVES;int_5;68,8;83,2;Lu_5;2;
JUEVES;int_6;68,9;81,9;Lu_1;2;
JUEVES;int_7;71;82,3;Lu_2;2;
JUEVES;int_8;71;83,3;Lu_3;2;
JUEVES;int_9;72,1;79,9;Lu_4;2;
JUEVES;int_10;68;87,2;Lu_5;2;
JUEVES;int_11;71;82,9;Lu_1;2;
JUEVES;int_12;71,9;82,9;Lu_2;2;
JUEVES;int_13;71,3;85,5;Lu_3;2;
JUEVES;int_14;72;79;Lu_4;2;
JUEVES;int_15;69,7;82,8;Lu_5;2;
VIERNES;int_1;70,8;84,8;Lu_1;2;
VIERNES;int_2;70,4;82,1;Lu_2;2;
VIERNES;int_3;69,4;77,8;Lu_3;2;
VIERNES;int_4;71;83,7;Lu_4;2;
VIERNES;int_5;69,2;81,4;Lu_5;2;
VIERNES;int_6;69,8;82,1;Lu_1;2;
VIERNES;int_7;70,6;81,1;Lu_2;2;
VIERNES;int_8;69,9;79,8;Lu_3;2;
VIERNES;int_9;70,1;78,2;Lu_4;2;
VIERNES;int_10;68;79,6;Lu_5;2;
VIERNES;int_11;67,1;77,4;Lu_1;2;
VIERNES;int_12;67,3;80,1;Lu_2;2;
VIERNES;int_13;68;79,3;Lu_3;2;
VIERNES;int_14;67,3;75,6;Lu_4;2;
VIERNES;int_15;66,4;86,4;Lu_5;2;
